最大值,最小值,极差,均值,整流均值,均方根,能量对数,方差,标准差,峭度,偏度,裕度,波形特征,峰值因子1,峰值因子2,差分-最大值,差分-最小值,差分-极差,差分-均值,差分-整流均值,差分-均方根,差分-能量对数,差分-方差,差分-标准差,差分-峭度,差分-偏度,差分-裕度,差分-波形特征,差分-峰值因子1,差分-峰值因子2,LL能量,LH能量,HL能量,HH能量,信息熵,信息量,奇异值0,奇异值1,奇异值2,奇异值3,lable
-0.982968,-1.441996,0.459028,-1.26201,1.26201,1.269315,-2.011415,0.018492,0.138093,1.042832,0.550482,-0.781243,1.005789,-0.774408,-0.778891,0.120553,-0.148372,0.268925,0.00058,0.04173,0.054468,-10.088245,0.002966,0.055337,3.70037,-0.607574,3.466821,1.30526,2.213272,2.888896,58.805615,0.014532,0.001536,0.022256,0.008596,58.767328,7.668486,0.149193,0.120268,0.039149,0
-0.982968,-1.423449,0.440481,-1.243042,1.243042,1.24961,-2.539888,0.016373,0.129942,1.038838,0.653661,-0.792963,1.005284,-0.78662,-0.790776,0.092733,-0.148372,0.241105,-0.000145,0.042744,0.053277,-10.279817,0.002838,0.05413,3.199685,-4.443294,2.600902,1.246426,1.740575,2.169497,56.210564,0.008604,0.003492,0.017718,0.007236,56.180773,7.497371,0.13311,0.092704,0.059053,0
-0.982968,-1.404903,0.421935,-1.230958,1.230958,1.237543,-2.571887,0.016253,0.129464,1.039974,0.490442,-0.800754,1.005349,-0.79429,-0.798539,0.092733,-0.111279,0.204012,0.000869,0.034485,0.045133,-11.722357,0.002036,0.045847,3.124434,-1.765895,3.476298,1.308768,2.054663,2.689077,54.113065,0.011716,0.000734,0.010523,0.005863,54.090106,7.356159,0.108236,0.102512,0.027091,0
-0.955149,-1.404903,0.449754,-1.24248,1.24248,1.249538,-2.228818,0.017589,0.13468,1.041404,0.692223,-0.771038,1.005681,-0.764402,-0.768744,0.092733,-0.106642,0.199375,-0.000145,0.039556,0.047603,-11.257938,0.002266,0.048365,2.383698,-0.68681,2.723208,1.203431,1.948042,2.344334,57.26324,0.002137,0.006953,0.006287,0.003959,57.247868,7.56725,0.083351,0.079276,0.046019,0
-0.969058,-1.404903,0.435845,-1.23981,1.23981,1.246491,-2.477592,0.01661,0.130877,1.03923,0.730347,-0.783832,1.005388,-0.777429,-0.781618,0.120552,-0.106642,0.227194,0.000145,0.038687,0.049281,-10.957012,0.002429,0.05007,3.034933,3.225782,3.681963,1.273848,2.446202,3.116088,56.372865,0.007517,0.006016,0.006409,0.005123,56.352933,7.508187,0.086706,0.080111,0.077491,0
-0.969058,-1.400266,0.431208,-1.225338,1.225338,1.232639,-2.14162,0.017946,0.136039,1.043914,0.569043,-0.793311,1.005958,-0.786165,-0.790849,0.09737,-0.09737,0.19474,-0.000724,0.040426,0.048318,-11.129458,0.002334,0.049085,2.308762,1.678332,2.715165,1.19522,2.015201,2.40861,53.184872,0.005492,0.005236,0.009991,0.005563,53.164164,7.292796,0.10007,0.074114,0.072144,0
-0.959785,-1.372446,0.412661,-1.200048,1.200048,1.205197,-3.751807,0.012386,0.113019,1.03215,0.560725,-0.801568,1.004291,-0.796372,-0.799789,0.09737,-0.078823,0.176193,0.00681,0.038977,0.047078,-11.446058,0.00217,0.047328,2.251481,-0.051855,2.864153,1.207852,2.06826,2.498152,51.741502,0.002838,0.00296,0.010336,0.004486,51.725376,7.193158,0.101654,0.054695,0.052834,0
-0.778956,-1.321443,0.542487,-0.978894,0.978894,0.99756,0.988292,0.036894,0.195055,1.16082,-0.60911,-0.803141,1.019069,-0.780861,-0.795751,0.115916,-0.05564,0.171556,0.014924,0.028834,0.036628,-14.322675,0.001119,0.033985,4.201395,3.755008,4.651734,1.270314,3.164649,4.020098,34.860474,0.00383,0.001964,0.005781,0.0048,34.848905,5.904278,0.076039,0.061762,0.044253,0
-0.778956,-1.418813,0.639857,-1.053642,1.053642,1.079515,2.737474,0.055191,0.23857,1.192859,-0.282374,-0.748479,1.024556,-0.72158,-0.739298,0.088097,-0.519304,0.607401,-0.005361,0.04883,0.100282,-4.798544,0.010028,0.101741,22.535469,-41.447038,2.633645,2.05372,0.878488,1.804169,41.469146,0.019923,0.023599,0.048207,0.0259,41.377699,6.439655,0.219557,0.153617,0.14113,0
-0.969058,-1.39563,0.426572,-1.233207,1.233207,1.239523,-2.745065,0.015618,0.126908,1.037291,0.754908,-0.787918,1.005122,-0.781799,-0.785803,0.088097,-0.078823,0.16692,0,0.036514,0.042653,-12.211545,0.001819,0.043336,2.08571,1.278954,2.789321,1.168152,2.065416,2.41272,55.818247,0.007297,0.001639,0.006313,0.004005,55.803003,7.471162,0.085391,0.079477,0.040353,0
